时间段,因子名称,最小分位数超额年化收益率,最大分位数超额年化收益率,最小分位数换手率,最大分位数换手率,IC均值,IR值
全a近3月,每股盈余公积金,6.35%,-31.63%,2.14%,1.22%,0.008,0.093
全a近3月,10日成交量标准差,-12.38%,1.08%,9.03%,9.92%,-0.052,-0.536
全a近3月,带息流动负债,-8.02%,10.97%,2.53%,1.83%,0.005,0.072
全a近3月,销售税金率,-6.28%,-11.54%,1.45%,1.49%,-0.002,-0.072
全a近3月,存货周转天数,-18.35%,-0.28%,1.51%,1.27%,0.006,0.083
全a近3月,营业周期,-7.38%,5.03%,1.56%,1.54%,-0.000,-0.003
全a近3月,14日均幅指标,-32.06%,10.06%,2.96%,4.84%,-0.022,-0.203
全a近3月,经营活动产生的现金流量净额与经营活动净收益之比,-6.17%,-25.09%,1.68%,1.34%,0.009,0.261
全a近3月,净利润现金含量,-26.30%,-33.54%,1.47%,1.50%,0.008,0.314
全a近3月,经营活动产生的现金流量净额增长率,-9.60%,-6.33%,1.58%,1.34%,0.009,0.293
全a近3月,销售费用TTM,5.94%,12.67%,2.38%,1.50%,-0.000,-0.002
全a近3月,留存收益,-34.71%,7.86%,2.81%,1.51%,0.023,0.240
全a近3月,营业总成本TTM,-30.40%,7.83%,2.80%,1.76%,0.013,0.139
全a近3月,速动比率,-1.79%,-0.42%,1.77%,1.14%,0.006,0.100
全a近3月,个股收益的20日偏度,-24.19%,-14.52%,15.53%,13.64%,-0.025,-0.608
全a近3月,利润总额增长率,0.00%,1.46%,1.60%,1.42%,0.012,0.290
全a近3月,营业外收支净额TTM,-11.59%,-21.04%,1.65%,1.36%,0.001,0.058
全a近3月,无形资产比率,-14.91%,-2.78%,1.41%,1.40%,-0.005,-0.146
全a近3月,归属母公司股东的净利润增长率,-1.48%,1.68%,1.62%,1.45%,0.011,0.283
全a近3月,市场杠杆,-8.70%,-9.89%,2.05%,1.94%,0.004,0.059
全a近3月,个股收益的20日峰度,-19.97%,-10.82%,19.16%,14.19%,-0.016,-0.588
全a近3月,20日夏普比率,-20.20%,5.39%,19.36%,20.35%,-0.044,-0.541
全a近3月,筹资活动产生的现金流量净额增长率,-15.94%,-1.86%,1.52%,1.30%,0.003,0.119
全a近3月,投资活动现金流量净额TTM,9.55%,-16.42%,1.40%,2.26%,-0.016,-0.304
全a近3月,产权比率,-4.33%,-6.10%,1.51%,1.85%,-0.006,-0.109
全a近3月,10日平均换手率,-10.31%,4.69%,4.44%,7.54%,-0.051,-0.390
全a近3月,10日平均换手率与120日平均换手率之比,-3.71%,-13.51%,7.63%,9.83%,-0.053,-0.599
全a近3月,计算VMACD因子的中间变量,-11.45%,-11.67%,6.48%,9.46%,-0.040,-0.524
全a近3月,超速动比率,-3.49%,2.68%,1.75%,1.11%,0.007,0.113
全a近3月,存货周转率,11.54%,-9.89%,1.56%,1.44%,-0.007,-0.090
全a近3月,财务费用TTM,-19.07%,19.41%,1.20%,1.71%,-0.005,-0.087
全a近3月,营业利润增长率,1.47%,1.52%,1.64%,1.42%,0.011,0.260
全a近3月,每股未分配利润,-18.82%,3.92%,2.34%,1.23%,0.016,0.179
全a近3月,20日成交量标准差,-12.14%,1.98%,4.87%,6.29%,-0.044,-0.429
全a近3月,长期负债与营运资金比率,-11.54%,10.75%,1.78%,1.58%,0.007,0.352
全a近3月,流动比率(单季度),-5.13%,1.60%,1.74%,1.19%,0.008,0.117
全a近3月,经营活动产生现金流量净额/净债务,-8.76%,-4.06%,1.25%,1.05%,0.007,0.249
全a近3月,总资产现金回收率,-25.46%,-4.19%,1.75%,1.23%,0.014,0.248
全a近3月,6日均幅指标,-29.27%,9.83%,5.04%,8.09%,-0.030,-0.289
全a近3月,每股营业收入TTM,-24.85%,2.04%,2.33%,1.34%,0.012,0.174
全a近3月,管理费用TTM,-31.86%,5.59%,2.75%,1.58%,0.011,0.111
全a近3月,净利息费用,-36.63%,-20.71%,1.17%,1.52%,-0.002,-0.006
全a近3月,非流动资产比率,-13.63%,-0.11%,1.37%,1.65%,-0.003,-0.055
全a近3月,价值变动净收益TTM,-22.26%,11.43%,2.07%,1.36%,0.008,0.205
全a近3月,每股净资产,-19.57%,-11.34%,2.26%,0.98%,0.015,0.154
全a近3月,总资产周转率,-2.94%,-7.17%,1.46%,1.42%,0.004,0.083
全a近3月,利润总额TTM,-35.54%,15.83%,2.53%,1.42%,0.030,0.276
全a近3月,个股收益的120日峰度,12.65%,-11.95%,4.43%,3.33%,-0.010,-0.262
全a近3月,60日夏普比率,-24.76%,-10.56%,12.51%,13.19%,-0.040,-0.394
全a近3月,长期借款与资产总计之比,-6.85%,16.82%,1.90%,1.57%,0.000,0.012
全a近3月,筹资活动现金流量净额TTM,-11.09%,-26.18%,1.31%,1.32%,-0.003,-0.054
全a近3月,个股收益的60日偏度,-13.23%,-8.72%,6.38%,6.37%,-0.024,-0.396
全a近3月,20日平均换手率,-15.12%,4.48%,2.99%,5.46%,-0.044,-0.326
全a近3月,市值因子,7.97%,15.39%,2.50%,2.59%,-0.007,-0.039
全a近3月,每股营业总收入,-24.85%,8.72%,2.47%,1.40%,0.014,0.181
全a近3月,20日平均换手率与120日平均换手率之比,-3.46%,-17.87%,5.07%,6.97%,-0.046,-0.489
全a近3月,有形净值债务率,-4.58%,-1.11%,1.52%,1.82%,-0.004,-0.085
全a近3月,成交量指数平滑异同移动平均线,4.59%,-23.35%,15.45%,23.69%,-0.022,-0.248
全a近3月,动量因子,-27.89%,11.85%,6.85%,7.79%,-0.003,-0.018
全a近3月,总资产报酬率,-36.43%,13.48%,2.02%,1.18%,0.024,0.240
全a近3月,营业利润率,-19.21%,12.28%,1.96%,1.06%,0.022,0.240
全a近3月,每股留存收益,-13.77%,2.74%,2.46%,1.23%,0.017,0.175
全a近3月,人气指标,-33.23%,-8.29%,15.06%,16.36%,-0.048,-0.554
全a近3月,长期负债与资产总计之比,-10.89%,4.54%,1.73%,1.60%,-0.002,-0.038
全a近3月,流动资产周转率TTM,-13.91%,-8.94%,1.67%,1.54%,0.003,0.043
全a近3月,无息流动负债,-30.63%,3.85%,2.63%,1.74%,0.011,0.126
全a近3月,财务费用与营业总收入之比,-11.16%,7.35%,1.09%,1.72%,-0.009,-0.165
全a近3月,经营活动净收益/利润总额,-12.65%,-3.10%,1.51%,1.65%,0.002,0.100
全a近3月,息税前利润,-37.73%,14.70%,2.80%,1.49%,0.031,0.319
全a近3月,债务总资产比,-2.84%,-13.56%,1.23%,1.84%,-0.006,-0.110
全a近3月,股东权益与固定资产比率,2.95%,-12.62%,1.57%,1.40%,-0.005,-0.085
全a近3月,个股收益的120日偏度,-18.11%,-4.19%,3.83%,4.27%,-0.018,-0.319
全a近3月,净利润TTM,-35.94%,15.87%,2.45%,1.37%,0.030,0.277
全a近3月,120日夏普比率,-29.22%,31.93%,8.11%,9.96%,-0.023,-0.213
全a近3月,非线性市值因子,-25.75%,6.34%,2.79%,4.51%,-0.009,-0.111
全a近3月,经营活动净收益,-32.22%,11.18%,2.55%,1.36%,0.029,0.291
全a近3月,60日平均换手率,-7.66%,19.59%,1.74%,3.45%,-0.029,-0.217
全a近3月,市净率因子,-2.90%,-38.44%,3.61%,2.10%,0.021,0.123
全a近3月,经营活动产生的现金流量净额/负债合计,-15.12%,-0.13%,1.56%,1.04%,0.011,0.206
全a近3月,每股营业收入,-24.92%,8.39%,2.46%,1.39%,0.014,0.180
全a近3月,经营活动产生的现金流量净额与营业收入之比,-15.88%,-7.04%,1.61%,1.16%,0.010,0.207
全a近3月,营业利润与营业总收入之比,-18.17%,12.71%,1.97%,1.10%,0.022,0.240
全a近3月,每股经营活动产生的现金流量净额,-16.10%,-1.84%,1.67%,1.10%,0.012,0.184
全a近3月,换手率相对波动率,-0.72%,-11.36%,5.44%,7.42%,-0.055,-0.444
全a近3月,资产回报率TTM,-37.52%,8.39%,1.94%,1.16%,0.023,0.233
全a近3月,管理费用与营业总收入之比,3.12%,-38.76%,1.55%,1.67%,-0.013,-0.214
全a近3月,固定资产周转率,-19.89%,-18.77%,1.58%,1.45%,-0.004,-0.091
全a近3月,净利润增长率,-3.56%,2.07%,1.59%,1.46%,0.011,0.277
全a近3月,对联营和合营公司投资收益/利润总额,-22.69%,11.53%,1.45%,1.57%,0.003,0.068
全a近3月,息税折旧摊销前利润,-39.46%,17.29%,3.22%,1.47%,0.034,0.355
全a近3月,资产减值损失TTM,-13.67%,-9.40%,2.42%,1.69%,0.005,0.099
全a近3月,股东权益比率,-13.62%,-2.83%,1.85%,1.23%,0.006,0.110
全a近3月,每股营业利润TTM,-30.01%,24.91%,2.38%,1.01%,0.023,0.204
全a近3月,20日收益方差,-27.30%,8.58%,6.84%,8.14%,-0.053,-0.389
全a近3月,归属于母公司股东的净利润TTM,-36.24%,16.21%,2.54%,1.35%,0.031,0.283
全a近3月,营业成本TTM,-33.22%,11.58%,2.58%,1.75%,0.014,0.155
全a近3月,净资产增长率,-36.98%,21.55%,1.94%,1.37%,0.020,0.243
全a近3月,120日平均换手率,-10.21%,21.04%,1.52%,2.76%,-0.022,-0.165
全a近3月,6日量变动速率指标,7.67%,-31.65%,54.44%,52.09%,-0.035,-0.453
全a近3月,销售商品提供劳务收到的现金与营业收入之比,18.05%,-0.58%,1.51%,1.64%,-0.008,-0.110
全a近3月,现金比率,-18.72%,-13.18%,1.68%,1.10%,0.010,0.212
全a近3月,现金流动负债比,-9.86%,15.83%,1.70%,1.01%,0.015,0.248
全a近3月,20日成交金额的标准差,-36.34%,3.05%,5.35%,7.04%,-0.046,-0.344
全a近3月,现金流资产比和资产回报率之差,-3.22%,-21.15%,1.44%,1.39%,-0.005,-0.161
全a近3月,ARBR,-5.05%,-9.35%,13.79%,12.35%,-0.009,-0.166
全a近3月,每股收益TTM,-30.49%,23.99%,2.23%,0.98%,0.023,0.209
全a近3月,20日资金流量,-37.09%,13.86%,2.97%,5.34%,-0.033,-0.237
全a近3月,权益回报率TTM,-35.70%,13.85%,2.06%,1.33%,0.023,0.230
全a近3月,应付账款周转率,-7.66%,15.89%,1.67%,1.46%,0.006,0.117
全a近3月,销售毛利率,-12.83%,-6.01%,1.89%,1.10%,0.006,0.091
全a近3月,净债务,-32.28%,9.85%,2.09%,1.72%,0.006,0.072
全a近3月,扣除非经常损益后的净利润/净利润,7.09%,-28.14%,1.60%,1.67%,-0.008,-0.284
全a近3月,非经常性损益,-17.81%,-4.81%,2.15%,1.46%,0.008,0.238
全a近3月,应收账款周转率,9.53%,-5.02%,2.11%,1.49%,-0.002,-0.020
全a近3月,股东权益周转率,-12.65%,-1.17%,1.71%,1.22%,0.002,0.040
全a近3月,每股现金流量净额，根据当时日期来获取最近变更日的总股本,-27.59%,-11.98%,1.00%,1.02%,0.005,0.204
全a近3月,流动性因子,-37.01%,15.99%,1.55%,3.82%,-0.024,-0.124
全a近3月,60日收益方差,-28.64%,16.36%,2.92%,4.73%,-0.034,-0.225
全a近3月,销售商品提供劳务收到的现金,-20.03%,3.62%,3.13%,1.65%,0.014,0.136
全a近3月,个股收益的60日峰度,-11.41%,-17.28%,8.15%,5.91%,-0.007,-0.205
全a近3月,成交量的5日指数移动平均,-10.70%,9.16%,6.41%,9.21%,-0.046,-0.477
全a近3月,毛利TTM,-39.68%,5.81%,3.35%,1.57%,0.024,0.259
全a近3月,240日平均换手率,-2.38%,6.35%,1.46%,2.15%,-0.020,-0.164
全a近3月,成交量的26日指数移动平均,-9.93%,14.87%,2.29%,4.45%,-0.032,-0.332
全a近3月,每股营业利润,-33.36%,31.78%,2.37%,1.14%,0.025,0.232
全a近3月,成交量震荡,2.50%,-14.55%,11.86%,15.80%,-0.053,-0.638
全a近3月,6日成交金额的标准差,-31.64%,-3.29%,15.30%,16.19%,-0.061,-0.540
全a近3月,成本费用利润率,-20.56%,29.35%,1.95%,1.08%,0.023,0.248
全a近3月,销售成本率,-6.47%,-13.58%,1.04%,1.88%,-0.006,-0.083
全a近3月,每股资本公积金,-18.29%,-4.63%,1.61%,0.95%,0.008,0.087
全a近3月,现金流量市值比,-8.98%,-29.17%,1.59%,1.67%,0.015,0.111
全a近3月,残差历史波动率,-35.68%,2.07%,1.16%,2.76%,-0.028,-0.156
全a近3月,5年盈利增长率,9.39%,-6.82%,1.62%,1.45%,0.002,0.024
全a近3月,利润市值比,-13.27%,-30.18%,1.92%,1.47%,0.024,0.159
全a近3月,市场杠杆,1.24%,-3.80%,1.31%,1.58%,0.005,0.038
全a近3月,对数总市值,7.10%,-19.61%,2.37%,2.05%,-0.009,-0.053
全a近3月,季度平均平均月换手率,-34.93%,22.34%,1.27%,3.33%,-0.017,-0.095
全a近3月,收益离差,-35.81%,8.79%,13.99%,11.49%,-0.016,-0.103
全a近3月,市值立方因子,-25.85%,6.34%,2.53%,4.31%,-0.010,-0.118
全a近3月,月换手率,-35.98%,5.83%,2.18%,5.16%,-0.033,-0.177
全a近3月,账面杠杆,-3.35%,2.52%,1.19%,1.63%,-0.001,-0.015
全a近3月,成长因子,-15.78%,-0.96%,1.51%,1.50%,0.011,0.122
全a近3月,盈利预期因子,6.61%,-29.34%,2.70%,1.87%,0.023,0.139
全a近3月,年度平均月换手率,-31.66%,5.36%,0.96%,2.01%,-0.011,-0.063
全a近3月,日收益率标准差,-39.80%,9.79%,1.49%,4.28%,-0.029,-0.138
全a近3月,资产负债率,-3.04%,-35.78%,1.08%,1.71%,-0.003,-0.040
全a近3月,相对强弱,-27.85%,11.86%,6.84%,7.78%,-0.003,-0.018
全a近3月,5年营业收入增长率,-10.35%,-2.44%,1.46%,1.32%,0.011,0.135
全a近3月,残差波动因子,-15.98%,-13.73%,3.80%,5.42%,-0.047,-0.476
全a近3月,BETA,-45.26%,33.19%,2.99%,3.21%,0.019,0.078
全a近3月,5日移动均线,-28.72%,16.23%,46.58%,42.75%,0.047,0.506
全a近3月,上轨线（布林线）指标,-28.58%,3.83%,31.47%,16.28%,0.017,0.157
全a近3月,26日指数移动均线,-7.75%,-4.52%,23.41%,21.61%,0.059,0.678
全a近3月,资金流量指标,-9.10%,-13.10%,21.76%,23.08%,-0.039,-0.569
全a近3月,120日指数移动均线,13.03%,-26.17%,13.11%,10.49%,0.045,0.449
全a近3月,60日移动均线,-1.96%,-19.48%,14.95%,12.87%,0.056,0.546
全a近3月,120日移动均线,23.57%,-30.61%,11.81%,9.17%,0.042,0.447
全a近3月,下轨线（布林线）指标,0.72%,-15.66%,16.32%,22.24%,0.063,0.692
全a近3月,12日指数移动均线,-19.70%,8.93%,32.74%,29.88%,0.056,0.580
全a近3月,5日指数移动均线,-28.86%,5.61%,47.04%,42.94%,0.051,0.517
全a近3月,20日指数移动均线,-12.10%,3.91%,26.11%,24.05%,0.058,0.655
全a近3月,20日移动均线,-14.90%,4.83%,23.74%,20.61%,0.053,0.607
全a近3月,平滑异同移动平均线,6.20%,-20.23%,12.79%,16.82%,-0.030,-0.289
全a近3月,10日指数移动均线,-20.77%,4.80%,35.35%,32.30%,0.055,0.555
全a近3月,10日移动均线,-22.67%,12.44%,33.01%,29.50%,0.050,0.480
全a近3月,5日乖离率,17.56%,-29.12%,42.73%,46.64%,-0.047,-0.506
全a近3月,当前股价除以过去一年股价均值再减1,-24.21%,22.53%,6.31%,9.32%,-0.028,-0.250
全a近3月,当前股价除以过去三个月股价均值再减1,-20.64%,4.51%,12.72%,14.80%,-0.055,-0.546
全a近3月,当前股价除以过去一个月股价均值再减1,6.20%,-11.95%,20.27%,23.13%,-0.053,-0.611
全a近3月,12日收盘价格与日期线性回归系数,-5.33%,1.64%,15.87%,16.00%,-0.037,-0.399
全a近3月,BBI 动量,-20.87%,5.20%,34.82%,31.65%,0.055,0.584
全a近3月,12日变动速率（Price Rate of Change）,4.43%,-14.57%,24.63%,23.39%,-0.048,-0.585
全a近3月,120日变动速率（Price Rate of Change）,-28.21%,60.50%,8.38%,8.80%,-0.025,-0.220
全a近3月,60日乖离率,-19.96%,2.40%,12.79%,14.87%,-0.056,-0.550
全a近3月,20日变动速率（Price Rate of Change）,-15.23%,2.08%,19.34%,17.80%,-0.044,-0.498
全a近3月,Aroon指标下轨,1.49%,-10.87%,22.52%,17.08%,0.020,0.323
全a近3月,单日价量趋势12均值,-16.67%,-14.73%,21.89%,19.03%,-0.046,-0.625
全a近3月,当前交易量相比过去1个月日均交易量 与过去过去20日日均收益率乘积,-16.22%,1.84%,24.13%,25.27%,-0.048,-0.561
全a近3月,20日顺势指标,-13.39%,-18.54%,22.63%,27.67%,-0.041,-0.444
全a近3月,6日收盘价格与日期线性回归系数,-4.68%,-17.16%,29.63%,29.36%,-0.039,-0.364
全a近3月,CR指标,-24.47%,-7.94%,16.81%,18.40%,-0.038,-0.462
全a近3月,60日变动速率（Price Rate of Change）,-14.49%,9.31%,13.14%,11.86%,-0.040,-0.403
全a近3月,20日乖离率,7.46%,-14.38%,20.70%,23.71%,-0.053,-0.608
全a近3月,多头力道,-9.26%,0.54%,27.46%,29.60%,-0.052,-0.589
全a近3月,Aroon指标上轨,-23.40%,-4.67%,16.71%,21.97%,-0.034,-0.458
全a近3月,单日价量趋势6日均值,-2.45%,-20.54%,32.52%,27.85%,-0.050,-0.572
全a近3月,10日终极指标TRIX,-20.26%,-3.21%,7.12%,8.82%,-0.040,-0.444
全a近3月,10日顺势指标,-9.74%,-24.16%,32.90%,40.66%,-0.039,-0.394
全a近3月,88日顺势指标,-29.39%,-16.20%,10.65%,14.77%,-0.044,-0.493
全a近3月,24日收盘价格与日期线性回归系数,-18.00%,-3.45%,8.52%,9.09%,-0.035,-0.385
全a近3月,10日乖离率,14.70%,-20.07%,29.59%,33.06%,-0.050,-0.480
全a近3月,6日变动速率（Price Rate of Change）,8.76%,-26.11%,33.92%,32.14%,-0.052,-0.486
全a近3月,当前价格处于过去1年股价的位置,-10.31%,-32.00%,16.21%,8.51%,0.030,0.330
全a近3月,梅斯线,-20.05%,-18.65%,8.37%,9.19%,-0.043,-0.444
全a近3月,空头力道,-4.23%,-5.94%,26.12%,31.52%,-0.023,-0.227
全a近3月,单日价量趋势,-0.99%,-38.94%,70.45%,72.48%,-0.028,-0.333
全a近3月,5日终极指标TRIX,-7.66%,-3.51%,13.40%,15.52%,-0.041,-0.444
全a近3月,1减去 过去一个月收益率排名与股票总数的比值,6.00%,-9.35%,18.21%,19.64%,0.044,0.484
全a近3月,15日顺势指标,-15.53%,-29.68%,26.12%,32.47%,-0.041,-0.431
全a近3月,市值,-20.19%,-18.73%,2.20%,2.16%,-0.004,-0.037
全a近3月,现金流市值比,-32.66%,-15.85%,1.46%,1.59%,0.005,0.232
全a近3月,营收市值比,-7.67%,-14.44%,2.92%,1.98%,0.015,0.139
全a近3月,流通市值,-18.12%,-19.01%,2.12%,2.28%,-0.004,-0.036
全a近3月,PEG,6.03%,-24.23%,1.83%,2.07%,-0.011,-0.243
全a近3月,财务杠杆指数,786.82%,45.93%,1.28%,1.19%,-0.000,-0.009
全a近3月,营业收入指数,-16.20%,18.55%,1.70%,1.34%,0.011,0.146
全a近3月,毛利率指数,18.97%,12.91%,1.60%,1.55%,-0.001,-0.046
全a近3月,经营性资产,-34.37%,7.25%,2.80%,1.78%,0.015,0.150
全a近3月,金融资产,-34.73%,7.10%,3.40%,1.56%,0.020,0.251
全a近3月,经营性负债,-17.99%,7.84%,2.87%,1.91%,0.010,0.102
全a近3月,应收账款指数,-6.54%,4.92%,1.40%,1.46%,-0.003,-0.146
全a近3月,金融负债,-10.72%,12.77%,2.51%,1.72%,0.009,0.116
全a近3月,经营资产回报率TTM,-11.77%,17.24%,2.05%,1.03%,0.019,0.218
全a近3月,销售利润率TTM,-19.38%,12.30%,1.97%,1.09%,0.022,0.238
全a近3月,长期权益回报率TTM,-31.02%,0.11%,2.21%,1.21%,0.014,0.174
全a近3月,经营资产周转率TTM,7.56%,-15.76%,1.49%,1.10%,0.005,0.108
全a近3月,长期资产回报率TTM,-32.67%,-0.17%,2.19%,1.01%,0.017,0.197
全a近3月,销售管理费用指数,-5.87%,7.73%,1.42%,1.64%,-0.003,-0.086
全a近3月,长期毛利率增长,-8.63%,19.49%,1.78%,1.57%,0.007,0.165
全a近3月,最大盈利水平,-10.24%,35.34%,1.79%,1.55%,0.009,0.187
全a近3月,盈利能力稳定性,-8.95%,-12.83%,1.95%,1.07%,0.012,0.185
全a近3月,投资资本回报率TTM,-11.20%,18.03%,2.05%,1.24%,0.023,0.219
全a近3月,预期市盈率,15.89%,-33.97%,3.34%,2.19%,0.019,0.094
全a近3月,RAW BETA,-45.26%,33.19%,2.99%,3.21%,0.019,0.078
全a近3月,预期短期盈利增长率,-41.39%,20.53%,1.78%,1.85%,0.014,0.127
全a近3月,预期长期盈利增长率,-53.02%,-10.51%,1.58%,2.63%,0.029,0.260
全a近3月,不复权价格因子,-36.57%,-14.44%,2.24%,2.49%,-0.003,-0.016
全a近3月,规模因子,-20.38%,0.52%,2.39%,4.85%,-0.010,-0.164
全a近3月,流动性因子,-33.07%,12.92%,1.24%,3.18%,-0.020,-0.109
全a近3月,分红收益率因子,19.65%,-34.95%,3.14%,2.05%,-0.001,-0.007
全a近3月,质量因子,-17.56%,-40.07%,2.72%,3.63%,-0.005,-0.070
全a近3月,价值因子,-4.81%,-42.39%,2.64%,1.93%,0.010,0.079
全a近3月,成长因子,-3.08%,-12.80%,3.26%,3.47%,0.009,0.121
全a近3月,动量因子,-23.76%,5.73%,13.61%,13.01%,-0.036,-0.312
全a近3月,波动率因子,-38.63%,18.42%,1.55%,2.35%,-0.006,-0.026
全a近3月,情绪因子,7.49%,-11.25%,4.94%,4.66%,0.010,0.261
全a近3月,市场波动率因子,-35.78%,18.49%,1.40%,1.26%,0.007,0.031
全a近3月,相对动量因子,-21.70%,7.88%,2.61%,3.66%,-0.004,-0.029
全a近3月,长期反转因子,-28.02%,6.57%,2.83%,2.53%,0.000,0.003
全a近3月,残余波动率因子,-37.81%,1.51%,1.11%,3.53%,-0.029,-0.145
全a近3月,流动性因子,-33.53%,16.53%,1.19%,3.40%,-0.021,-0.117
全a近3月,市值规模因子,7.10%,-19.61%,2.37%,2.05%,-0.009,-0.053
全a近3月,中等市值因子,-25.94%,6.32%,2.54%,4.23%,-0.010,-0.114
全a近3月,市净率因子,-2.90%,-38.44%,3.61%,2.10%,0.021,0.123
全a近3月,盈利能力因子,-40.72%,-20.23%,1.69%,0.98%,0.002,0.021
全a近3月,财务杠杆因子,7.48%,-31.45%,1.07%,1.54%,-0.000,-0.001
全a近3月,投资能力因子,4.21%,-15.35%,1.17%,1.88%,-0.014,-0.122
全a近3月,分红因子,-4.64%,-36.46%,2.14%,1.22%,0.015,0.104
全a近3月,盈利质量因子,8.77%,-11.77%,1.12%,1.70%,-0.009,-0.116
全a近3月,收益因子,-0.07%,-30.95%,2.39%,1.64%,0.022,0.134
全a近3月,长期成长因子,-19.15%,1.43%,1.63%,1.77%,0.016,0.169
全a近3月,盈利变动率因子,-33.60%,-16.71%,1.54%,2.05%,-0.012,-0.146
